ALGO_TYPE,ASSET_BASE,ASSET_COUNTER,AUDIT_ID,DOMAIN_ID,ECN,ECP_ACCOUNT,ECP_CLIENT,ECP_FLOOR,ECP_FLOOR_KEY,ECP_INSTITUTION,ECP_INSTITUTION_KEY,ECP_LEI,ECP_ORDER_ID,ECP_ROLE,ECP_TRADER,EFP_ACCOUNT,EFP_CLIENT,EFP_EBS_ORDER_ID,EFP_EXEC_SIDE,EFP_FLOOR,EFP_FLOOR_KEY,EFP_INSTITUTION,EFP_INSTITUTION_KEY,EFP_LEI,EFP_ORDER_ID,EFP_ROLE,EFP_TRADER,END_DATE,EXEC_ID,IND_UNSOLICITED,INSTR_PRODUCT_TYPE,INSTR_SEC_ID,INSTR_SYMBOL,IS_TERM_CCY,MARKET_SEGMENT,ORD_EXPOSURE,ORD_PX_PD,ORD_PX_PD_EXP,ORD_PX_SWAP_POINTS,ORD_PX_SWAP_POINTS_EXP,ORD_QUOTE_ID,ORD_QUOTE_REQUEST_ID,ORD_SIDE,ORD_SUBMITTER_TYPE,ORD_TIME_IN_FORCE,ORD_TYPE,PX_SWAP_POINTS,PX_SWAP_POINTS_EXP,SOURCE_ID,SPOT_SETTL_DATE,TRADE_DATE,TXN_TIME
1,USD,CHF,0,0,2,PL22,,PL22,4264,PL22,1133,,,C,,LCPO,,0100-2400-0013,T,LCPO,3916,LCPO,949,,LN2-1446721464277-2,E,LN4,1452643200000,FF64-0E70-0002-00,1,0,1900676,USD/CHF,0,2,,,,,,,,1,5,1,0,,,1,1452816000000,1452643200000,1452680473478
1,GBP,JPY,14,0,2,LPLL,,Z4AL,4507,LPLL,1229,,,C,,RA99,,0100-2400-0016,T,RA99,4391,RA99,1074,,LN2-1446723245475-1,C,LN2,1452643200000,FF64-0E70-0005-00,1,0,852105,GBP/JPY,0,2,,,,,,,,0,5,1,0,,,1,1452816000000,1452643200000,1452680473425
1,USD,RUB,16,0,2,LPRC,,LPRC,4075,ZSCB,961,,,E,,R3E1,,0100-2400-0014,T,R3E1,4184,R3E1,1097,,LN2-1446722296089-3,C,LN5,1452643200000,FF64-0E70-0003-00,1,0,1900685,USD/RUB,0,2,,,,,,,,0,5,1,0,,,1,1452816000000,1452643200000,1452680473443
1,AUD,CAD,2,0,2,LPRB,,LPRB,4074,ZBOA,960,,,E,,LCPM,,0100-2900-0023,T,LCPM,3914,LCPM,947,,LN2-1446975088802-2,E,L02,1452643200000,FF64-0E70-002E-04,1,0,196739,AUD/CAD,0,2,,,,,,,,1,5,1,0,,,1,1452816000000,1452643200000,1452680473550
1,USD,RUB,17,0,2,LPRD,,LPRD,4076,ZRBS,926,,,E,,R3E2,,0100-2400-0015,T,R3E2,4185,R3E2,1098,,LN2-1446722297770-4,C,LN6,1452643200000,FF64-0E70-0004-00,1,0,1900685,USD/RUB,0,2,,,,,,,,1,5,1,0,,,1,1452816000000,1452643200000,1452680473451
1,AUD,CAD,1,0,2,LPRA,,LPRA,4073,ZHBC,959,,,E,,LCPL,,0100-2400-000A,T,LCPL,3913,LCPL,946,,LN2-1446716515210-8,E,LN2,1452643200000,FF64-0E6D-000A-00,1,0,196739,AUD/CAD,0,2,,,,,,,,0,5,1,0,,,1,1452816000000,1452643200000,1452680473486
1,GBP,JPY,15,0,2,LPLK,,Z4AK,4506,LPLK,1228,,,C,,RB01,,0100-2400-0017,T,RB01,4392,RB01,1075,,LN2-1446723330227-2,C,LN2,1452643200000,FF64-0E70-0006-00,1,0,852105,GBP/JPY,0,2,,,,,,,,1,5,1,0,,,1,1452816000000,1452643200000,1452680473435
1,USD,CHF,19,0,2,PL21,,PL21,4263,PL21,1132,,,C,,LCPN,,0100-2400-0012,T,LCPN,3915,LCPN,948,,LN2-1446721379487-1,E,LN1,1452643200000,FF64-0E70-0001-00,1,0,1900676,USD/CHF,0,2,,,,,,,,0,5,1,0,,,1,1452816000000,1452643200000,1452680473470
1,EUR,GBP,4,0,2,LPRH,,LPRH,4080,LPRH,1221,,,E,,LCPI,,0100-3300-0003,T,LCPI,3876,LCPI,943,,LN2-1447148910874-3,E,MT2,1452643200000,FF64-0E72-0003-00,1,0,2228359,EUR/GBP,0,2,,,,,,,3,1,6,1,0,,,1,1452816000000,1452643200000,1452680473571
4,EUR,JPY,6,0,2,LPRC,,LPRC,4075,ZSCB,961,,,E,,R4J1,,0100-2400-0025,T,R4J1,4194,R4J1,892,,LN2-1446727843975-7,C,L12,1452643200000,FF0A-0014-0000-08,1,3,19703626335879202,EUR/JPY,0,4,,,,150000,-6,,47262048001,1,5,1,0,150000,-6,1,1452816000000,1452643200000,1452680473593
